,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-10,273.67999267578125,274.4200134277344,272.9200134277344,274.1199951171875,252.8343811035156,69574300
1,2018-01-11,274.75,276.1199951171875,274.5599975585937,276.1199951171875,254.67904663085935,62361500
2,2018-01-12,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,256.3393249511719,90816100
3,2018-01-16,279.3500061035156,280.0899963378906,276.17999267578125,276.9700012207031,255.46307373046875,106555100
4,2018-01-17,278.0299987792969,280.04998779296875,276.9700012207031,279.6099853515625,257.8981018066406,113258800
5,2018-01-18,279.4800109863281,279.9599914550781,278.5799865722656,279.1400146484375,257.46466064453125,100728000
6,2018-01-19,279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,258.635986328125,140920100
7,2018-01-22,280.1700134277344,282.69000244140625,280.1099853515625,282.69000244140625,260.73883056640625,91322400
8,2018-01-23,282.739990234375,283.6199951171875,282.3699951171875,283.2900085449219,261.29229736328125,97084700
9,2018-01-24,284.0199890136719,284.70001220703125,281.8399963378906,283.17999267578125,261.1908264160156,134816100
10,2018-01-25,284.1600036621094,284.2699890136719,282.3999938964844,283.29998779296875,261.3014831542969,84587300
11,2018-01-26,284.25,286.6300048828125,283.9599914550781,286.5799865722656,264.32684326171875,107743100
12,2018-01-29,285.92999267578125,286.42999267578125,284.5,284.67999267578125,262.5743713378906,90118300
13,2018-01-30,282.6000061035156,284.739990234375,281.2200012207031,281.760009765625,259.881103515625,131796400
14,2018-01-31,282.7300109863281,283.29998779296875,280.67999267578125,281.8999938964844,260.0101928710937,108364800
15,2018-02-01,281.07000732421875,283.0599975585937,280.67999267578125,281.5799865722656,259.7149963378906,90102500
16,2018-02-02,280.0799865722656,280.2300109863281,275.4100036621094,275.45001220703125,254.0611114501953,173174800
17,2018-02-05,273.45001220703125,275.8500061035156,263.3099975585937,263.92999267578125,243.4356231689453,294681800
18,2018-02-06,259.94000244140625,269.70001220703125,258.70001220703125,269.1300048828125,248.2318572998047,355026800
19,2018-02-07,268.5,272.3599853515625,267.5799865722656,267.6700134277344,246.88522338867188,167376100
20,2018-02-08,268.010009765625,268.1700134277344,257.5899963378906,257.6300048828125,237.62484741210935,246449500
21,2018-02-09,260.79998779296875,263.6099853515625,252.9199981689453,261.5,241.1943359375,283565300
22,2018-02-12,263.8299865722656,267.010009765625,261.6600036621094,265.3399963378906,244.73611450195312,143736000
23,2018-02-13,263.9700012207031,266.6199951171875,263.3099975585937,266.0,245.34487915039065,81223600
24,2018-02-14,264.3099975585937,270.0,264.29998779296875,269.5899963378906,248.6560821533203,120735700
25,2018-02-15,271.57000732421875,273.0400085449219,268.7699890136719,273.0299987792969,251.8290100097656,111200300
26,2018-02-16,272.32000732421875,275.32000732421875,272.2699890136719,273.1099853515625,251.9028167724609,160420100
27,2018-02-20,272.0299987792969,273.6700134277344,270.5,271.3999938964844,250.3255920410156,86369700
